序號,ns1:name3,ns1:SP_DESC,ns1:EP_DESC,ns1:CITY,ns1:TOWN,ns1:MGR_MCH,ns1:B_LENGTH,緯度,ns1:coordinates
bike1,北成自行車道,北成路二段206巷,北成路二段219巷,宜蘭縣,羅東鎮,羅東鎮公所,6000,24.67906857,121.7561287
bike2,宜興路二段,宜興路一段356巷,東園路,宜蘭縣,宜蘭市,宜蘭市公所,400,24.757403,121.75873
bike3,羅莊大排自行車道,羅莊一街,羅莊二街,宜蘭縣,羅東鎮,羅東鎮公所,1100,0,118.7545661
bike4,牛鬥自行車共用道,大同鄉公所,大同鄉公所,宜蘭縣,大同鄉,,21000,24.67949728,121.6080526
bike5,安農溪自行車道(下湖段),天山農場,蘭陽發電廠,宜蘭縣,三星鄉,三星鄉公所,1100,24.65575101,121.618496
bike6,安農溪自行車道銜接台7丙斷點串連,台七丙11K+600,台七丙電力橋,宜蘭縣,三星鄉,三星鄉公所,1570,24.66135818,121.6214713
bike7,安農溪自行車道,歪仔歪橋,萬富圳,宜蘭縣,三星鄉,三星鄉公所,9810,24.659791,121.650045
bike8,安農溪南岸(健隱橋至萬富圳段)自行車道,,,宜蘭縣,三星鄉,三星鄉公所,1940,24.66939944,121.6692334
bike9,宜61線自行車道(西側),深洲路交員山路,長春路交上將路,宜蘭縣,員山鄉,宜蘭縣政府,13555,24.727187,121.714203
bike10,內員山自行車共用道,,,宜蘭縣,員山鄉,公路局,15,24.74567682,121.7222715
bike11,安農溪南岸自行車道(行健橋至分洪堰),,,宜蘭縣,三星鄉,三星鄉公所,2700,24.68373262,121.7237067
bike12,溪南環線(梅花湖至森林公園段)自行車道,冬山森林公園,鼻仔頭橋,宜蘭縣,冬山鄉,工商旅遊處,8300,24.65048861,121.7258978
bike13,宜30線梅林路,冬山鄉宜33線堤防道路與宜30線梅林路交叉口,冬山鄉宜30線梅林路與鹿梅路交叉口,宜蘭縣,冬山鄉,冬山鄉公所,1471,24.65177623,121.7267239
bike14,宜蘭縣平原區域自行車道宜蘭河濱公園等3處串連改善工程,,,宜蘭縣,冬山鄉,宜蘭縣政府,1100,24.652943,121.7273
bike15,宜26線自行車道(南側),長春路交上將路,公正路交北成路,宜蘭縣,冬山鄉,宜蘭縣政府、宜蘭縣立體育場,3000,24.694405,121.72983
bike16,宜26線自行車道,星洲路二段,羅東運動公園,宜蘭縣,三星鄉、冬山鄉、羅東鎮,宜蘭縣政府、宜蘭縣立體育場,3000,24.694464,121.729876
bike17,宜26線自行車道(北側),星洲路二段,羅東運動公園,宜蘭縣,冬山鄉,宜蘭縣政府、宜蘭縣立體育場,3000,24.693951,121.730468
bike18,員山線、山腳線,台七線八甲漁場附遊,得子口溪,宜蘭縣,員山鄉,,300,24.7640957,121.731863
bike19,柯仔林環線尾段自行車道,安農溪分洪堰風景區,安農溪分洪堰風景區,宜蘭縣,冬山鄉,冬山鄉公所,3305,24.690877,121.735529
bike20,宜蘭縣得子口溪林美環線自行車道工程,得子口溪自行車道起點會合,得子口溪自行車道中段銜接,宜蘭縣,礁溪鄉,宜蘭縣礁溪鄉公所,7800,24.81088117,121.7548737
bike21,雙園自行車道,,,宜蘭縣,宜蘭市,,9600,24.73767598,121.7550179
bike22,宜蘭縣溪南環線改善及串連新寮溪太和段自行車道工程,,,宜蘭縣,冬山鄉/羅東鎮,宜蘭縣政府,6500,24.63507182,121.7552771
bike23,雙園自行車專用道,宜蘭運動公園,羅東運動公園,宜蘭縣,宜蘭市+羅東鎮,宜蘭縣政府,2000,24.6796467,121.7555854
bike24,宜蘭河自行車專用道,員山公園,宜蘭河濱公園,宜蘭縣,宜蘭市+員山鄉,宜蘭縣政府,5500,24.76545667,121.7556004
bike25,深洲大道自行車道,,,宜蘭縣,羅東鎮、冬山鄉、三星鄉、員山鄉,,6500,24.67911197,121.7560864
bike26,宜蘭河員山段自行車道,,,宜蘭縣,宜蘭市,,5500,24.76261766,121.7607938
bike27,得子口溪自行車道,,,宜蘭縣,礁溪鄉,宜蘭縣礁溪鄉公所,11500,24.8014466,121.761319
bike28,季水自行車專用道,,,宜蘭縣,五結鄉,,,24.70809664,121.7693616
bike29,得子溪自行車專用道,礁溪火車站,得子口溪與台九省道路口,宜蘭縣,礁溪鄉,宜蘭縣礁溪鄉公所,11500,24.83097656,121.776419
